name,b,bi,bdt,bdti,h,hi,hdt,hdti,class,type,issniper,isbolt,isdw,firetype,clipsize,maxammo,headmultiplier,multiplier,,,10/20/30/40:90
karma_1911,0,0,0,0,0,0,0,0,pistol,bullet,0,0,single,Single Shot,8,80,,,,,
karma_b23r,1687,2530,6748,10122,3749,5623.5,14996,22494,pistol,bullet,0,0,single,Burst,15,105,1,1.5,10122,22494,
karma_b23r_up,3124,4686,12496,18744,6249,9373.5,24996,37494,pistol,bullet,0,0,single,Full Auto,20,180,1,2.3,28740.8,57490.8,full auto*
karma_b23r_up2,7499,11248.5,29996,44994,14999,22498.5,59996,89994,pistol spread,bullet,0,0,single,Full Auto,20,240,1,1.5,44994,89994,full auto*
karma_olympia,6360,9540,25440,38160,25441,38161.5,101764,152646,spread,bullet,0,0,single,Single Shot,2,28,1,1,25440,101764,
karma_olympia_up,5653,8479.5,22612,33918,22614,33921,90456,135684,spread,bullet,0,0,single,Single Shot,2,28,0.7,1,22612,63319.2,
karma_olympia_up2,8706,13059,34824,52236,0,0,0,0,spread,bullet,0,0,single,Single Shot,2,28,1,1.5,52236,52236,weird stuff going on
karma_m14,1093,1639.5,4372,6558,3281,4921.5,13124,19686,rifle,bullet,0,0,single,Single Shot,8,96,1,3,13116,39372,
karma_m14_up,1875,2812.5,7500,11250,12500,18750,50000,75000,rifle,bullet,0,0,single,Single Shot,16,192,0.3,3,22500,45000,
karma_m14_up2,1666,2499,6664,9996,12500,18750,50000,75000,rifle,bullet,0,0,single,Burst,30,360,0.3,5,33320,75000,burst!
karma_kap,5735,8602.5,22940,34410,17205,25807.5,68820,103230,pistol,bullet,0,0,single,Full Auto,18,162,0.6,1,22940,41292,
karma_kap_up,7352,11028,29408,44112,22058,33087,88232,132348,pistol,bullet,0,0,single,Full Auto,20,140,0.6,1,29408,52939.2,
karma_kap_up2,8235,12352.5,32940,49410,24705,37057.5,98820,148230,pistol,bullet,0,0,single,Full Auto,35,420,0.8,1,32940,79056,
karma_python,9375,14062.5,37500,56250,15625,23437.5,62500,93750,pistol,bullet,0,0,single,Single Shot,6,84,1,0.3,11250,18750,
karma_python_up,12187,18280.5,24374,36561,54166,81249,108332,162498,pistol,projectile,0,0,single,Single Shot,12,312,0.4,1,24374,43332.8,
karma_python_up2,12187,18280.5,24374,36561,54166,81249,108332,162498,pistol,projectile,0,0,single,Single Shot,24,120,0.7,1.2,29248.8,90998.88,
karma_judge,21874,32811,87496,131244,43749,65623.5,174996,262494,spread,bullet,0,0,single,Single Shot,5,75,1,0.18,15749.28,31499.28,
karma_judge_up,28124,42186,112496,168744,56249,84373.5,224996,337494,spread,bullet,0,0,single,Single Shot,5,85,1,0.18,20249.28,40499.28,
karma_judge_up2,31874,47811,127496,191244,63749,95623.5,254996,382494,spread,bullet,0,0,single,Single Shot,1,100,1.1,0.25,31874,70123.9,
karma_m27,2237,3355.5,8948,13422,11187,16780.5,44748,67122,rifle,bullet,0,0,single,Full Auto,30,240,0.7,1.4,12527.2,43853.04,
karma_m27_up,2800,4200,11200,16800,14000,21000,56000,84000,rifle,bullet,0,0,single,Full Auto,50,500,0.5,2.4,26880,67200,
karma_m27_up2,4090,6135,16360,24540,20454,30681,81816,122724,rifle,bullet,0,0,single,Full Auto,75,375,0.38,2.8,45808,87052.224,also has burn!!
karma_ksg,720,1080,2880,4320,1120,1680,4480,6720,rifle,bullet,0,1,single,Full Auto,10,100,2.5,5,14400,56000,
karma_ksg_up,810,1215,1620,2430,3600,5400,7200,10800,rifle,projectile,0,1,single,Single Shot,14,126,0.3,30,48600,64800,slow moving explosive
karma_ksg_up2,1500,2250,3000,4500,0,0,0,0,rifle,projectile,0,1,single,Single Shot,18,162,0.3,20,60000,0,slow moving explosive
karma_ks23,2240,3360,8960,13440,6720,10080,26880,40320,spread,bullet,0,1,single,Single Shot,4,40,1,1.5,13440,40320,
karma_ks23_up,5760,8640,23040,34560,17280,25920,69120,103680,spread,bullet,0,1,single,Single Shot,4,36,1,1,23040,69120,
karma_ks23_up2,0,0,0,0,17280,25920,69120,103680,spread,bullet,0,1,single,Single Shot,6,60,0.8,1.5,0,82944,
karma_s12,4374,6561,17496,26244,13124,19686,52496,78744,spread,bullet,0,0,single,Single Shot,10,50,0.8,0.8,13996.8,33597.44,
karma_s12_up,40799,61198.5,81598,122397,271999,407999,543998,815997,rifle,projectile,0,0,single,Burst,60,360,0.3,0.3,24479.4,48959.82,
karma_s12_up2,115199,172799,230398,345597,511999,767999,1023998,1.54E+06,rifle,projectile,0,0,single,Auto Burst,78,468,0.4,0.14,32255.72,57343.888,
karma_scorpion,2613,3919.5,10452,15678,7840,11760,31360,47040,smg,bullet,0,0,single,Full Auto,50,350,1,1,10452,31360,
karma_scorpion_up,4204,6306,16816,25224,21022,31533,84088,126132,smg,bullet,0,0,single,Full Auto,50,550,0.5,1.5,25224,63066,
karma_scorpion_up2,4204,6306,16816,25224,21022,31533,84088,126132,smg,bullet,0,0,single,Full Auto,600,600,0.5,1.9,31950.4,79883.6,
karma_mp5,2133,3199.5,8532,12798,6400,9600,25600,38400,smg,bullet,0,0,single,Full Auto,30,240,1,1.3,11091.6,33280,
karma_mp5_up,1574,2361,6296,9444,8749,13123.5,34996,52494,smg,bullet,0,0,single,Full Auto,40,200,0.4,4,25184,55993.6,
karma_mp5_up2,1912,2868,7648,11472,10624,15936,42496,63744,smg,bullet,0,0,single,Full Auto,50,250,0.4,5,38240,84992,
karma_kuda,1722,2583,6888,10332,5166,7749,20664,30996,smg,bullet,0,0,single,Full Auto,38,190,1,1.5,10332,30996,
karma_kuda_up,1964,2946,7856,11784,5894,8841,23576,35364,smg,bullet,0,0,single,Full Auto,38,266,1,3,23568,70728,
karma_kuda_up2,2317,3475.5,9268,13902,6952,10428,27808,41712,smg,bullet,0,0,single,Full Auto,45,405,0.8,4,37072,88985.6,
karma_fal,1562,2343,6248,9372,7812,11718,31248,46872,rifle,bullet,0,0,single,Single Shot,20,180,0.7,2.5,15620,54684,
karma_fal_up,2366,3549,9464,14196,11830,17745,47320,70980,rifle,bullet,0,0,single,Single Shot,30,270,0.5,3,28392,70980,
karma_fal_up2,3444,5166,13776,20664,17222,25833,68888,103332,rifle,bullet,0,0,single,Full Auto,35,315,0.4,3,41328,82665.6,
karma_dsr,720,1080,2880,4320,2400,3600,9600,14400,rifle,bullet,0,1,single,Single Shot,4,48,0.7,7,20160,47040,
karma_dsr_up,900,1350,3600,5400,10000,15000,40000,60000,rifle,bullet,0,1,single,Single Shot,8,96,0.2,10,36000,80000,
karma_dsr_up2,45000,67500,180000,270000,50000,75000,200000,300000,rifle,bullet,0,0,single,Full Auto,2,130,2,0.2,36000,80000,
karma_svu,15277,22915.5,61108,91662,28645,42967.5,114580,171870,rifle,bullet,0,0,single,Single Shot,12,96,1,0.2,12221.6,22916,
karma_svu_up,7500,11250,15000,22500,58333,87499.5,116666,174999,pistol,projectile,0,0,single,Single Shot,12,120,0.4,1.5,22500,69999.6,
karma_svu_up2,7968,11952,15936,23904,61979,92968.5,123958,185937,pistol,projectile,0,0,single,Full Auto,24,240,0.3,2.5,39840,92968.5,
karma_swat,2916,4374,11664,17496,11666,17499,46664,69996,rifle,bullet,0,0,single,Burst,32,256,0.4,1.8,20995.2,33598.08,
karma_swat_up,3750,5625,7500,11250,15000,22500,30000,45000,rifle,projectile,0,0,single,Auto Burst,40,320,0.4,4,30000,48000,
karma_swat_up2,3187,4780.5,6374,9561,14166,21249,28332,42498,rifle,projectile,0,0,single,Full Auto,48,384,0.4,6,38244,67996.8,
karma_ak47,2411,3616.5,9644,14466,12058,18087,48232,72348,rifle,bullet,0,0,single,Full Auto,30,270,0.4,1,9644,19292.8,
karma_ak47_up,2588,3882,5176,7764,0,0,0,0,rifle,projectile,0,0,single,Full Auto,45,405,1,7,36232,0,
karma_ak47_up2,2414,3621,4828,7242,10731,16096.5,21462,32193,rifle,projectile,0,0,single,Full Auto,60,480,0.6,9,43452,115894.8,
karma_an94,1064,1596,4256,6384,4259,6388.5,17036,25554,rifle,bullet,0,0,single,Full Auto,30,180,1,2.5,10640,42590,
karma_an94_up,1851,2776.5,3702,5553,0,0,0,0,rifle,projectile,0,0,single,Full Auto,45,405,1,10,37020,0,
karma_an94_up2,3333,4999.5,6666,9999,0,0,0,0,rifle,projectile,0,0,single,Full Auto,48,480,1,7,46662,0,
karma_peacekeeper,3124,4686,12496,18744,15624,23436,62496,93744,smg,bullet,0,0,single,Full Auto,30,330,0.5,1,12496,31248,
karma_peacekeeper_up,3124,4686,12496,18744,3874,5811,15496,23244,smg,bullet,0,0,single,Full Auto,45,495,1.7,2,24992,52686.4,
karma_peacekeeper_up2,5700,8550,22800,34200,28428,42642,113712,170568,smg,bullet,0,0,single,Full Auto,50,550,0.5,1.5,34200,85284,
karma_lsat,2374,3561,9496,14244,11874,17811,47496,71244,mg,bullet,0,0,single,Full Auto,100,400,0.7,1,9496,33247.2,
karma_lsat_up,9374,14061,37496,56244,18749,28123.5,74996,112494,mg,bullet,0,0,single,Full Auto,100,600,1,0.6,22497.6,44997.6,
karma_lsat_up2,17187,25780.5,68748,103122,20624,30936,82496,123744,mg,bullet,0,0,single,Full Auto,205,205,1.6,0.5,34374,65996.8,
karma_rpd,1882,2823,7528,11292,9411,14116.5,37644,56466,mg,bullet,0,0,single,Full Auto,100,600,1,1,7528,37644,
karma_rpd_up,2235,3352.5,4470,6705,0,0,0,0,rifle,projectile,0,0,single,Full Auto,115,690,1,5,22350,0,explosive
karma_rpd_up2,2533,3799.5,5066,7599,0,0,0,0,rifle,projectile,0,0,single,Full Auto,150,900,1,8,40528,0,
karma_hamr,1781,2671.5,7124,10686,5937,8905.5,23748,35622,mg,bullet,0,0,single,Full Auto,125,375,1,1.5,10686,35622,
karma_hamr_up,2604,3906,10416,15624,7812,11718,31248,46872,mg,bullet,0,0,single,Full Auto,125,625,1,2,20832,62496,
karma_hamr_up2,3937,5905.5,15748,23622,21874,32811,87496,131244,mg,bullet,0,0,single,Full Auto,155,775,0.5,2,31496,87496,
,,,,,,,,,,,,,,,,,,,24992,52939.2,
